M = 50  (0/123 already done)
  test_r=0.9080  n_iter=811  wall=94.7s
  test_r=0.8942  n_iter=704  wall=82.2s
  test_r=0.8982  n_iter=799  wall=93.2s
  test_r=0.9671  n_iter=461  wall=56.7s
  test_r=0.9623  n_iter=394  wall=48.3s
  test_r=0.9652  n_iter=362  wall=45.5s
  test_r=0.9654  n_iter=794  wall=101.5s
  test_r=0.9606  n_iter=821  wall=103.5s
  test_r=0.9615  n_iter=699  wall=89.1s
  test_r=0.9409  n_iter=1045  wall=122.8s
  test_r=0.9461  n_iter=956  wall=112.6s
  test_r=0.9472  n_iter=1353  wall=157.7s
  test_r=0.9187  n_iter=1309  wall=153.8s
  test_r=0.9017  n_iter=911  wall=108.6s
  test_r=0.9145  n_iter=1268  wall=150.0s
  test_r=0.6790  n_iter=672  wall=84.2s
  test_r=0.6554  n_iter=726  wall=91.1s
  test_r=0.6424  n_iter=748  wall=92.6s
  test_r=0.9539  n_iter=1041  wall=122.3s
  test_r=0.9568  n_iter=885  wall=100.8s
  test_r=0.9561  n_iter=1018  wall=119.1s
  test_r=0.8809  n_iter=986  wall=115.9s
  test_r=0.8709  n_iter=1121  wall=131.7s
  test_r=0.8948  n_iter=1092  wall=127.7s
  test_r=0.9734  n_iter=1286  wall=148.2s
  test_r=0.9688  n_iter=1500  wall=171.9s
